PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,
1,4/5/2019,7:01:15 PM,1,1,"Green, Josh",681401,Right,VIS_RAW,"Johnson, Bryce",669369,Left,SAN_GIA,Undefined,1,Top,0,0,0,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.6662226322305,-2.98225445016458,-2.41254139561581,2056.54336397994,212.378597555181,1:00,6.5796026848651,2.259577062517,5.65661794172796,-16.0654893222129,15.2670248056581,9.69943095288235,2.45495949905856,0.816904958767178,86.8590285970897,-5.97119384209569,-0.5993141861513,0.402873907146783,,,,,,,,,,,,-5.82642620680483,8.95419282363386,-2.06164992057501,50,6.31689414775199,5.44366046996188,-137.501724344775,-7.74873354948208,-11.1979051817036,29.3832275304321,-14.9648368271825,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,dc31b092-580f-11e9-b18f-3024326079b8,
2,4/5/2019,7:01:34 PM,1,2,"Green, Josh",681401,Right,VIS_RAW,"Johnson, Bryce",669369,Left,SAN_GIA,Undefined,1,Top,0,0,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,81.7015170530955,-1.64880343325621,-2.50913329705255,2583.60504416452,63.731897642126,8:00,6.46496507063193,2.65186658349217,4.93263324775849,-46.6081219308379,-2.83946970403442,-5.66990960967216,1.02073140714945,-0.193545011824621,74.8115603038048,-10.1941694552889,-3.56112606371764,0.476160214447815,,,,,,,,,,,,2.18615137451882,-0.972968099228583,-2.40334574748646,50,6.26711013555475,5.38751389645537,-118.497834312214,-5.01604315623362,3.07446953109129,24.9527027632647,-33.542371359082,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,e640016c-580f-11e9-b18f-3024326079b8,
3,4/5/2019,7:01:54 PM,1,3,"Green, Josh",681401,Right,VIS_RAW,"Johnson, Bryce",669369,Left,SAN_GIA,Undefined,1,Top,0,1,1,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.1700612946703,-1.81387702654842,-2.6531029233977,2103.84580325461,235.94260137541,1:45,6.5790919353755,2.24488787394073,5.83179238644161,-21.0707642241892,10.3414857381079,15.3424932213755,3.13497784464935,1.05583210771039,86.4292522285696,-5.75187051032098,0.224713223958979,0.403386203667356,,,,,,,,,,,,-8.95955019760188,6.04629427223943,-2.03763951054866,49.9999999999999,6.41864157153764,5.81017752695421,-136.907162920171,-5.0735562964951,-17.0672355573854,29.1908788826196,-20.6563354661906,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,ef32ac63-580f-11e9-b18f-3024326079b8,
4,4/5/2019,7:02:13 PM,1,4,"Green, Josh",681401,Right,VIS_RAW,"Johnson, Bryce",669369,Left,SAN_GIA,Undefined,1,Top,0,2,1,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.8594217720103,-1.98951161983266,-2.13354629252395,2157.85539696915,228.163118854796,1:30,6.37622607854937,2.22620852729484,5.76491674186591,-20.8224345691174,10.8070608387437,12.104610653609,2.78759031175411,1.24856824735965,86.336692231164,-5.87085347447365,0.1325255211072,0.404778698946215,,,,,,,,,,,,-7.04852849803868,6.3154699212572,-2.05716019345332,50,6.19897411422349,4.65959856334108,-136.498451689282,-5.4770240059364,-13.373230047633,28.4587150174195,-20.1916564671624,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,feffaf23-580f-11e9-b18f-3024326079b8,
5,4/5/2019,7:02:33 PM,1,5,"Green, Josh",681401,Right,VIS_RAW,"Johnson, Bryce",669369,Left,SAN_GIA,Undefined,1,Top,0,3,1,Sinker,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,94.5397406231346,-3.19844036123979,-3.7426761853202,2147.6356133867,228.205984198255,1:30,6.52969489967688,2.3004842095913,5.87709174863134,-18.6792086483953,12.6274720905785,14.1589564501855,1.99350160109849,-9.38922307941721E-05,86.5789934320798,-6.68953762118428,-1.08523310340472,0.402707789860343,100.328662832272,-16.930953175675,8.14251017477536,,,,,7.98033341424052,6.59386677527247,6.4948605191528,0.0459393310546875,-8.65610604291376,7.68313188148654,-2.00628317013659,50,6.25998120292637,8.48243569395878,-137.14192845667,-8.32479748685805,-16.5088838305213,29.926522309053,-17.5208163689768,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,0a0aab25-5810-11e9-b18f-3024326079b8,
6,4/5/2019,7:03:14 PM,2,1,"Green, Josh",681401,Right,VIS_RAW,"Geraldo, Manuel",645283,Left,SAN_GIA,Undefined,1,Top,0,0,0,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.0395159064169,-1.82723282539436,-2.07452022525804,2030.23879219516,237.09682438981,2:00,6.51057615515846,2.23989058491634,5.55353556827339,-24.6162303722461,8.14678579080281,12.639094036908,2.75039359428583,1.35413645468338,84.7880125216441,-6.41940575274358,0.295372331674604,0.411967974652152,,,,,,,,,,,,-7.35105048185638,4.88215989301929,-2.06895606256193,50,6.3366189834316,4.44408741154063,-135.173577173502,-5.19607313131868,-13.5307346668179,30.8877608223998,-23.1876852772679,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,230d1598-5810-11e9-b18f-3024326079b8,
7,4/5/2019,7:03:57 PM,2,2,"Green, Josh",681401,Right,VIS_RAW,"Geraldo, Manuel",645283,Left,SAN_GIA,Undefined,1,Top,0,1,0,Sinker,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.0923888418339,-2.49082042951349,-2.68515486466744,2024.58000959835,222.451872140849,1:30,6.48641771166262,2.13528773978509,5.75580361773453,-20.3312263028701,12.2230529642144,11.2094908274787,2.46982881753972,0.568397010662945,84.6952135936652,-6.29862501553313,-0.575837401792088,0.410653530317131,,,,,,,,,,,,-6.81986838795334,7.30789675853551,-1.91955826173697,50,6.26753852867938,5.95196553514633,-135.167690408498,-6.58874801697806,-12.5396225244551,31.1531859869846,-18.7370932389942,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,3ccbcfd7-5810-11e9-b18f-3024326079b8,
8,4/5/2019,7:04:33 PM,2,3,"Green, Josh",681401,Right,VIS_RAW,"Geraldo, Manuel",645283,Left,SAN_GIA,Undefined,1,Top,0,1,1,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.3765461721038,-4.00787498967925,-2.49540337845815,2075.51434420285,235.364306990613,1:45,6.5318019673655,2.27741621563183,5.49626337866806,-22.4125284135731,9.54757559480178,13.8650710721222,0.905953137018532,1.09748403376366,86.4078935419737,-8.15561664627815,0.0968880481305293,0.406888682598899,,,,,,,,,,,,-8.08363650558106,6.21779338141805,-2.0686074672762,50,6.16591906220198,5.45481156057155,-136.830648700346,-10.4178566446296,-15.2966995711338,30.7204409750065,-20.4080918257846,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,519ffc2b-5810-11e9-b18f-3024326079b8,
9,4/5/2019,7:05:33 PM,2,4,"Green, Josh",681401,Right,VIS_RAW,"Geraldo, Manuel",645283,Left,SAN_GIA,Undefined,1,Top,0,2,1,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.2694098894582,-2.15537257004061,-4.36693427459525,2162.66740722773,226.409974269662,1:30,6.68527616916898,2.02694877188599,5.7283126371585,-17.143490617704,15.2234457962329,16.0237345501714,3.24273016706436,-0.712212750387456,85.1492499485985,-5.36178520406708,-1.3688726988078,0.40947021419713,,,,,,,,,,,,-9.79662193896194,8.75735285001599,-1.67239217676501,50,6.49464341536943,9.77034003183977,-135.271833607591,-5.70477823164076,-18.1658170570703,29.3009290440667,-15.9353419115499,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,756aa582-5810-11e9-b18f-3024326079b8,
10,4/5/2019,7:05:57 PM,2,5,"Green, Josh",681401,Right,VIS_RAW,"Geraldo, Manuel",645283,Left,SAN_GIA,Undefined,1,Top,0,2,2,Sinker,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.4803060649615,-2.11514494406063,-2.40327990662877,2096.72233673006,237.685256843428,2:00,6.55129070883881,2.21332517626532,5.64429449081119,-22.9351991883714,9.31819888169669,14.7794818472439,2.66462135299042,1.20212478574961,85.476746965325,-6.3920175364476,0.366767503101605,0.408751403316553,,,,,,,,,,,,-8.58047180084309,5.57936683463687,-2.01888047827433,50,6.35729020926205,5.17524873890798,-135.818366065332,-5.83533277400091,-16.0067304826683,30.1076027890589,-21.765830540121,VIS_RAW,SAN_GIA,RecreationPark,HighA,CAL,20190405-RecreationPark-1,84ab06d9-5810-11e9-b18f-3024326079b8,
